Year,Semester,Instructor,Subj,Crse,A,B,C,D,F,W
2019,Spring,"Ratchford, Timothy",ACCT,D001A,16,9,9,1,4,5
2019,Spring,"Botsford, Lydia",ACCT,D001A,19,5,5,2,5,8
2019,Spring,"Breen, Mary",ACCT,D001A,18,10,5,1,7,3
2019,Spring,"Hammond, Laurienne",ACCT,D001A,4,3,8,7,5,12
2019,Spring,"Breen, Mary",ACCT,D001A,11,10,4,3,9,4
2019,Spring,"Hammond, Laurienne",ACCT,D001A,5,6,10,1,9,3
2019,Spring,"Venkata, Lakshmamma",ACCT,D001A,21,13,1,1,4,3
2019,Spring,"Breen, Mary",ACCT,D001A,1,5,6,5,8,3
2019,Spring,"Jeanpierre, Letha",ACCT,D001A,6,5,8,1,13,15
2019,Spring,"Salah, Danny",ACCT,D001A,21,3,1,2,1,2
2019,Spring,"Kwak, Christopher",ACCT,D001B,16,6,2,1,2,3
2019,Spring,"Botsford, Lydia",ACCT,D001B,16,12,3,3,3,5
2019,Spring,"Mello, Kevin",ACCT,D001B,6,2,8,4,3,11
2019,Spring,"Mello, Kevin",ACCT,D001B,6,3,5,2,1,7
2019,Spring,"Riordan, Michael",ACCT,D001B,36,13,3,0,1,1
2019,Spring,"West, Jeffrey",ACCT,D001B,8,16,7,2,3,3
2019,Spring,"Gough, Walter",ACCT,D001B,15,6,11,3,4,4
2019,Spring,"Kwak, Christopher",ACCT,D001B,2,6,8,3,6,3
2019,Spring,"Osborne, Lawrence",ACCT,D001C,19,15,4,1,0,0
2019,Spring,"Kwak, Christopher",ACCT,D001C,9,7,6,4,8,1
2019,Spring,"Gough, Walter",ACCT,D001C,28,7,5,3,0,3
2019,Spring,"Breen, Mary",ACCT,D001C,11,7,2,2,3,1
2019,Spring,"Breen, Mary",ACCT,D001C,12,8,5,0,5,2
2019,Spring,"West, Jeffrey",ACCT,D001C,11,10,8,0,2,2
2019,Spring,"Osborne, Lawrence",ACCT,D001C,25,18,3,0,0,0
2019,Spring,"Salah, Danny",ACCT,D001C,14,23,8,0,1,0
2019,Spring,"Osborne, Lawrence",ACCT,D001C,14,25,5,0,4,2
2019,Spring,"Mello, Kevin",ACCT,D01BH,0,1,0,0,0,0
2019,Spring,"Mello, Kevin",ACCT,D01BH,1,0,0,0,0,0
2019,Spring,"Breen, Mary",ACCT,D01CH,1,0,0,0,0,0
2019,Spring,"Breen, Mary",ACCT,D01CH,1,0,0,0,0,0
2019,Spring,"Mello, Kevin",ACCT,D051A,10,7,3,0,0,4
2019,Spring,"Mello, Kevin",ACCT,D051B,13,6,6,0,0,2
2019,Spring,"Osborne, Lawrence",ACCT,D052,7,7,1,0,4,1
2019,Spring,"Kwak, Christopher",ACCT,D058,21,5,2,0,1,2
2019,Spring,"Botsford, Lydia",ACCT,D064,17,4,8,0,4,2
2019,Spring,"Botsford, Lydia",ACCT,D067,11,9,3,0,2,5
2019,Spring,"Botsford, Lydia",ACCT,D068,2,4,0,2,1,3
2019,Spring,"James, Alexis",ACCT,D074,35,0,0,0,0,0
2019,Spring,"James, Alexis",ACCT,D074,24,0,0,0,2,2
2019,Spring,"Hammond, Laurienne",ACCT,D87AI,17,5,1,0,3,3
2019,Spring,"Suits, James",ADMJ,D001,6,13,12,2,7,4
2019,Spring,"Bonini, Griffin",ADMJ,D003,3,14,5,0,0,0
2019,Spring,"Suits, James",ADMJ,D006,8,16,5,2,3,6
2019,Spring,"Kensler, Meghan",ADMJ,D029,13,9,2,0,2,1
2019,Spring,"Green, DuJuan",ADMJ,D054,27,0,0,2,0,3
2019,Spring,"Suits, James",ADMJ,D056,5,5,1,1,1,6
2019,Spring,"Peretti, Bryan",ADMJ,D073,9,4,5,3,4,1
2019,Spring,"Harsany, Andrew",ADMJ,D074A,3,2,3,5,0,0
2019,Spring,"Bonini, Griffin",ADMJ,D075,11,13,5,0,0,2
2019,Spring,"Garrido, Jeremiah",ADMJ,D084,15,26,1,0,0,1
2019,Spring,"Burns, Dennis",ADMJ,D090A,10,4,0,0,0,2
2019,Spring,"Lindenbaum, Eugene",ADMJ,D095,3,0,2,0,0,0
2019,Spring,"Tiwana, Ameeta",ANTH,D001,13,11,9,4,4,1
2019,Spring,"Tiwana, Ameeta",ANTH,D001,21,11,9,1,4,1
2019,Spring,"Tiwana, Ameeta",ANTH,D001,22,15,7,1,2,1
2019,Spring,"Beggs, Emily",ANTH,D001,26,6,4,3,7,2
2019,Spring,"Mabie, Elisabeth-Anne",ANTH,D001,27,9,3,1,6,3
2019,Spring,"Patel, Shankari",ANTH,D001,30,18,4,2,0,2
2019,Spring,"Solomon, Daniel",ANTH,D001,21,12,2,1,4,3
2019,Spring,"Hui, Julie",ANTH,D001,12,16,2,1,5,11
2019,Spring,"Tiwana, Ameeta",ANTH,D001H,1,0,0,0,0,0
2019,Spring,"Tiwana, Ameeta",ANTH,D001H,2,0,0,0,0,0
2019,Spring,"Tiwana, Ameeta",ANTH,D001H,1,0,0,0,0,0
2019,Spring,"Patel, Shankari",ANTH,D001L,12,6,4,0,1,5
2019,Spring,"Solomon, Daniel",ANTH,D001L,22,2,0,1,0,0
2019,Spring,"Tiwana, Ameeta",ANTH,D001L,25,3,1,0,0,0
2019,Spring,"Kadkly, Amanda",ANTH,D001L,14,5,0,0,1,0
2019,Spring,"Smith, Marissa",ANTH,D002,8,10,2,4,5,1
2019,Spring,"Das, Ashidhara",ANTH,D002,17,7,0,1,4,7
2019,Spring,"Roque, Angel",ANTH,D002,22,10,4,0,2,5
2019,Spring,"Roque, Angel",ANTH,D002,13,3,2,1,0,1
2019,Spring,"Cerda Aguilar, Mayra",ANTH,D002,25,5,1,0,3,0
2019,Spring,"Das, Ashidhara",ANTH,D002,31,3,1,0,3,5
2019,Spring,"Das, Ashidhara",ANTH,D002,27,8,3,2,4,7
2019,Spring,"Kadkly, Amanda",ANTH,D003,15,8,2,2,5,2
2019,Spring,"Mabie, Elisabeth-Anne",ANTH,D007,17,6,2,0,2,0
2019,Spring,"Wishart, William",APRN,D050A,0,0,0,0,0,1
2019,Spring,"O’Brien, Forrest",APRN,D050B,0,0,0,0,0,2
2019,Spring,"McCart, Michael",APRN,D060,0,1,0,0,0,0
2019,Spring,"Walton, Johnathan",APRN,D060D,1,0,2,1,1,0
2019,Spring,"Walton, Johnathan",APRN,D060E,0,1,3,0,2,0
2019,Spring,"Walton, Johnathan",APRN,D061A,2,8,2,0,0,0
2019,Spring,"Walton, Johnathan",APRN,D061B,0,8,3,0,1,0
2019,Spring,"Maynard, Richard",APRN,D063A,1,1,3,3,1,0
2019,Spring,"Mjelde, Elizabeth",ARTS,D001A,18,15,2,1,3,1
2019,Spring,"Karmi, Yael",ARTS,D001A,28,11,6,2,2,4
2019,Spring,"Becerril, Linda",ARTS,D001A,9,10,9,2,7,6
2019,Spring,"Mjelde, Elizabeth",ARTS,D001A,20,8,8,2,6,1
2019,Spring,"Mjelde, Elizabeth",ARTS,D001A,16,14,2,2,4,6
2019,Spring,"Karmi, Yael",ARTS,D001B,16,16,8,1,2,5
2019,Spring,"Pasturel, Deborah",ARTS,D002A,84,12,3,0,0,1
2019,Spring,"Kleit, Natasha",ARTS,D002B,24,12,8,1,0,4
2019,Spring,"Mjelde, Elizabeth",ARTS,D002C,22,12,0,0,3,2
2019,Spring,"Kleit, Natasha",ARTS,D002D,9,5,1,2,6,7
2019,Spring,"Coronado, Marc",ARTS,D002F,5,3,2,2,1,3
2019,Spring,"Cole, Constance",ARTS,D002F,2,6,0,2,2,1
2019,Spring,"Cadge-Moore, Catie",ARTS,D002F,9,6,3,0,1,2
2019,Spring,"Cadge-Moore, Catie",ARTS,D002F,8,3,1,0,1,2
2019,Spring,"Cadge-Moore, Catie",ARTS,D002F,11,2,2,0,2,1
2019,Spring,"Olsen, Nancy",ARTS,D002F,5,2,2,1,11,6
2019,Spring,"Lee, So Kam",ARTS,D002G,17,8,0,0,1,11
2019,Spring,"Lee, So Kam",ARTS,D002G,5,4,3,2,1,6
2019,Spring,"Chandras, Prakash",ARTS,D004A,15,8,0,0,3,0
2019,Spring,"Briggs, Marcia",ARTS,D004A,25,2,0,0,2,0
2019,Spring,"Miki, Masako",ARTS,D004A,10,4,3,0,4,1
2019,Spring,"Miki, Masako",ARTS,D004A,7,7,2,1,2,4
2019,Spring,"Hughes, Julie",ARTS,D004B,10,9,1,0,1,0
2019,Spring,"Coon, Cheryl",ARTS,D004B,8,2,5,1,0,0
2019,Spring,"Engel, Mark",ARTS,D004C,23,12,1,0,0,0
2019,Spring,"Briggs, Marcia",ARTS,D008,26,0,0,0,2,0
2019,Spring,"Jauch, Patricia",ARTS,D008,29,0,0,0,1,0
2019,Spring,"Ohtake, Motosuke",ARTS,D010A,7,2,1,0,1,3
2019,Spring,"Jauch, Patricia",ARTS,D010A,20,1,0,0,0,1
2019,Spring,"Ohtake, Motosuke",ARTS,D010B,5,0,0,0,0,1
2019,Spring,"Jauch, Patricia",ARTS,D010B,2,0,0,0,0,0
2019,Spring,"Hughes, Julie",ARTS,D012,16,13,1,0,0,2
2019,Spring,"Hughes, Julie",ARTS,D016A,12,8,0,0,0,0
2019,Spring,"Hughes, Julie",ARTS,D016B,4,1,0,0,1,0
2019,Spring,"Hughes, Julie",ARTS,D016C,3,1,0,0,0,0
2019,Spring,"Feld, Julia",ARTS,D018A,16,2,2,0,1,1
2019,Spring,"Cook, Kimberly",ARTS,D018A,16,3,0,0,0,0
2019,Spring,"Feld, Julia",ARTS,D018A,15,4,2,0,1,4
2019,Spring,"Feld, Julia",ARTS,D018B,10,5,1,0,0,0
2019,Spring,"Feld, Julia",ARTS,D018C,5,0,0,0,0,0
2019,Spring,"Cook, Kimberly",ARTS,D018D,2,0,0,0,0,0
2019,Spring,"Ohtake, Motosuke",ARTS,D037A,8,4,0,0,1,2
2019,Spring,"Ohtake, Motosuke",ARTS,D037B,3,1,0,0,0,0
2019,Spring,"Ohtake, Motosuke",ARTS,D037C,5,0,0,0,0,0
2019,Spring,"Marquez, Marco",ARTS,D053,25,2,2,0,4,0
2019,Spring,"Kasikci, Gokce",ARTS,D054,22,3,5,1,1,0
2019,Spring,"Kasikci, Gokce",ARTS,D055A,15,5,2,0,0,1
2019,Spring,"Marquez, Marco",ARTS,D055B,21,1,0,1,1,5
2019,Spring,"Marquez, Marco",ARTS,D055C,1,0,0,0,0,0
2019,Spring,"Ohtake, Motosuke",ARTS,D058A,8,0,2,0,1,1
2019,Spring,"Ohtake, Motosuke",ARTS,D058B,6,0,0,0,1,1
2019,Spring,"Ohtake, Motosuke",ARTS,D058C,4,0,0,0,2,0
2019,Spring,"Marquez, Marco",ARTS,D085,28,0,0,0,1,2
2019,Spring,"Chaharsough Shirazi, Atousa",ASTR,D004,13,11,10,4,6,7
2019,Spring,"Olejniczak, Paul",ASTR,D004,101,17,7,0,7,4
2019,Spring,"Harrington, Sherwood",ASTR,D004,31,15,16,1,6,2
2019,Spring,"Cichanski, Marek",ASTR,D004,26,34,20,2,12,7
2019,Spring,"Harrington, Sherwood",ASTR,D004,14,20,19,1,9,7
2019,Spring,"Cichanski, Marek",ASTR,D004,7,25,14,6,15,9
2019,Spring,"Peterson, Eric",ASTR,D010,3,11,4,3,4,3
2019,Spring,"Cichanski, Marek",ASTR,D015L,26,6,2,0,1,1
2019,Spring,"Wishart, William",AUTO,D050A,11,3,8,4,9,3
2019,Spring,"Wishart, William",AUTO,D050A,12,3,8,0,4,8
2019,Spring,"Walton, Johnathan",AUTO,D050B,9,8,3,0,7,1
2019,Spring,"O’Brien, Forrest",AUTO,D050B,8,6,3,0,2,6
2019,Spring,"Wishart, William",AUTO,D051A,9,6,8,1,2,2
2019,Spring,"Wishart, William",AUTO,D051A,10,5,3,0,3,0
2019,Spring,"Wishart, William",AUTO,D051B,17,5,3,0,2,3
2019,Spring,"Wishart, William",AUTO,D051B,19,5,0,0,2,0
2019,Spring,"McCart, Michael",AUTO,D053A,1,5,5,2,7,2
2019,Spring,"McCart, Michael",AUTO,D060,4,9,6,2,2,4
2019,Spring,"Silva, Xavier",AUTO,D060,13,13,7,1,4,0
2019,Spring,"Walton, Johnathan",AUTO,D060D,8,2,9,1,0,0
2019,Spring,"Walton, Johnathan",AUTO,D060E,4,9,4,0,4,0
